Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2024-03-01 03:48,,,1,1,1,1,p
2024-03-01 03:54,,,1,1,1,1,p
2024-03-01 04:00,,,1,1,1,1,p
2024-03-01 04:06,,,1,1,1,1,p
2024-03-01 04:12,,,1,1,1,1,p
2024-03-01 04:18,,,1,1,1,1,p
2024-03-01 04:24,,,1,1,1,1,p
2024-03-01 04:30,,,1,1,1,1,p
2024-03-01 04:36,,,1,1,1,1,p
2024-03-01 04:42,,,1,1,1,1,p
2024-03-01 04:48,,,1,1,1,1,p
2024-03-01 04:54,,,1,1,1,1,p
2024-03-01 05:00,,,1,1,1,1,p
2024-03-01 05:06,,,1,1,1,1,p
2024-03-01 05:12,,,1,1,1,1,p
2024-03-01 05:18,,,1,1,1,1,p
2024-03-01 05:24,,,1,1,1,1,p
2024-03-01 05:30,1.055,0.03,1,0,0,0,p
2024-03-01 05:36,1.062,0.033,0,0,0,0,p
2024-03-01 05:42,1.073,0.037,0,0,0,0,p
2024-03-01 05:48,1.079,0.035,0,0,0,0,p
2024-03-01 05:54,1.081,0.031,1,0,0,0,p
2024-03-01 06:00,1.1,0.043,0,0,0,0,p
2024-03-01 06:06,1.108,0.042,0,0,0,0,p
2024-03-01 06:12,1.118,0.044,0,0,0,0,p
2024-03-01 06:18,1.14,0.038,0,0,0,0,p
2024-03-01 06:24,1.167,0.047,1,0,0,0,p
2024-03-01 06:30,1.192,0.048,0,0,0,0,p
2024-03-01 06:36,1.206,0.06,0,0,0,0,p
2024-03-01 06:42,1.228,0.049,0,0,0,0,p
2024-03-01 06:48,1.247,0.049,0,0,0,0,p
2024-03-01 06:54,1.255,0.04,0,0,0,0,p
2024-03-01 07:00,1.278,0.048,0,0,0,0,p
2024-03-01 07:06,1.305,0.045,0,0,0,0,p
2024-03-01 07:12,1.329,0.038,0,0,0,0,p
2024-03-01 07:18,1.346,0.036,0,0,0,0,p
2024-03-01 07:24,1.376,0.036,0,0,0,0,p
2024-03-01 07:30,1.398,0.04,0,0,0,0,p
2024-03-01 07:36,1.415,0.043,1,0,0,0,p
2024-03-01 07:42,1.43,0.036,1,0,0,0,p
2024-03-01 07:48,1.439,0.035,0,0,0,0,p
2024-03-01 07:54,1.452,0.032,1,0,0,0,p
2024-03-01 08:00,1.477,0.032,1,0,0,0,p
2024-03-01 08:06,1.508,0.036,0,0,0,0,p
2024-03-01 08:12,1.537,0.036,0,0,0,0,p
2024-03-01 08:18,1.558,0.03,1,0,0,0,p
2024-03-01 08:24,1.578,0.029,1,0,0,0,p
2024-03-01 08:30,1.609,0.032,0,0,0,0,p
2024-03-01 08:36,1.617,0.032,0,0,0,0,p
2024-03-01 08:42,1.637,0.03,0,0,0,0,p
2024-03-01 08:48,1.652,0.032,0,0,0,0,p
2024-03-01 08:54,1.667,0.026,1,0,0,0,p
2024-03-01 09:00,1.675,0.029,1,0,0,0,p
2024-03-01 09:06,1.691,0.031,1,0,0,0,p
2024-03-01 09:12,1.702,0.033,0,0,0,0,p
2024-03-01 09:18,1.715,0.031,1,0,0,0,p
2024-03-01 09:24,1.738,0.034,0,0,0,0,p
2024-03-01 09:30,1.74,0.036,0,0,0,0,p
2024-03-01 09:36,1.749,0.035,1,0,0,0,p
2024-03-01 09:42,1.747,0.029,0,0,0,0,p
2024-03-01 09:48,1.754,0.032,0,0,0,0,p
2024-03-01 09:54,1.769,0.034,0,0,0,0,p
2024-03-01 10:00,1.777,0.033,0,0,0,0,p
2024-03-01 10:06,1.788,0.038,0,0,0,0,p
2024-03-01 10:12,1.788,0.041,0,0,0,0,p
2024-03-01 10:18,1.799,0.042,1,0,0,0,p
2024-03-01 10:24,1.809,0.034,1,0,0,0,p
2024-03-01 10:30,1.802,0.037,0,0,0,0,p
2024-03-01 10:36,1.811,0.043,0,0,0,0,p
2024-03-01 10:42,1.808,0.037,0,0,0,0,p
2024-03-01 10:48,1.794,0.029,1,0,0,0,p
2024-03-01 10:54,1.795,0.038,0,0,0,0,p
2024-03-01 11:00,1.787,0.038,1,0,0,0,p
2024-03-01 11:06,1.784,0.036,0,0,0,0,p
2024-03-01 11:12,1.778,0.031,1,0,0,0,p
2024-03-01 11:18,1.765,0.038,0,0,0,0,p
2024-03-01 11:24,1.743,0.037,1,0,0,0,p
2024-03-01 11:30,1.72,0.039,0,0,0,0,p
2024-03-01 11:36,1.714,0.034,1,0,0,0,p
2024-03-01 11:42,1.694,0.036,1,0,0,0,p
2024-03-01 11:48,1.686,0.039,1,0,0,0,p
2024-03-01 11:54,1.667,0.036,0,0,0,0,p
2024-03-01 12:00,1.655,0.031,1,0,0,0,p
2024-03-01 12:06,1.613,0.045,1,0,0,0,p
2024-03-01 12:12,1.597,0.039,0,0,0,0,p
2024-03-01 12:18,1.585,0.04,0,0,0,0,p
2024-03-01 12:24,1.57,0.037,1,0,0,0,p
2024-03-01 12:30,1.561,0.043,1,0,0,0,p
2024-03-01 12:36,1.54,0.039,1,0,0,0,p
2024-03-01 12:42,1.495,0.047,1,0,0,0,p
2024-03-01 12:48,1.458,0.051,1,0,0,0,p
2024-03-01 12:54,1.426,0.048,1,0,0,0,p
2024-03-01 13:00,1.398,0.044,1,0,0,0,p
2024-03-01 13:06,1.362,0.05,0,0,0,0,p
2024-03-01 13:12,1.331,0.052,1,0,0,0,p
2024-03-01 13:18,1.31,0.052,1,0,0,0,p
2024-03-01 13:24,1.276,0.051,0,0,0,0,p
2024-03-01 13:30,1.249,0.048,0,0,0,0,p
2024-03-01 13:36,1.227,0.04,0,0,0,0,p
2024-03-01 13:42,1.194,0.043,0,0,0,0,p
2024-03-01 13:48,1.173,0.045,1,0,0,0,p
2024-03-01 13:54,1.16,0.033,0,0,0,0,p
2024-03-01 14:00,,,1,1,1,1,p
2024-03-01 14:06,,,1,1,1,1,p
2024-03-01 14:12,,,1,1,1,1,p
2024-03-01 14:18,,,1,1,1,1,p
2024-03-01 14:24,,,1,1,1,1,p
2024-03-01 14:30,,,1,1,1,1,p
2024-03-01 14:36,,,1,1,1,1,p
2024-03-01 14:42,,,1,1,1,1,p
2024-03-01 14:48,,,1,1,1,1,p
2024-03-01 14:54,,,1,1,1,1,p
2024-03-01 15:00,,,1,1,1,1,p
2024-03-01 15:06,,,1,1,1,1,p
2024-03-01 15:12,,,1,1,1,1,p
2024-03-01 15:18,,,1,1,1,1,p
2024-03-01 15:24,,,1,1,1,1,p
2024-03-01 15:30,,,1,1,1,1,p
2024-03-01 15:36,,,1,1,1,1,p
2024-03-01 15:42,,,1,1,1,1,p
2024-03-01 15:48,,,1,1,1,1,p
2024-03-01 15:54,,,1,1,1,1,p
2024-03-01 16:00,,,1,1,1,1,p
2024-03-01 16:06,,,1,1,1,1,p
2024-03-01 16:12,,,1,1,1,1,p
2024-03-01 16:18,,,1,1,1,1,p
2024-03-01 16:24,,,1,1,1,1,p
2024-03-01 16:30,,,1,1,1,1,p
2024-03-01 16:36,,,1,1,1,1,p
2024-03-01 16:42,,,1,1,1,1,p
2024-03-01 16:48,,,1,1,1,1,p
2024-03-01 16:54,,,1,1,1,1,p
2024-03-01 17:00,,,1,1,1,1,p
2024-03-01 17:06,,,1,1,1,1,p
2024-03-01 17:12,,,1,1,1,1,p
2024-03-01 17:18,,,1,1,1,1,p
2024-03-01 17:24,,,1,1,1,1,p
2024-03-01 17:30,,,1,1,1,1,p
2024-03-01 17:36,,,1,1,1,1,p
2024-03-01 17:42,,,1,1,1,1,p
2024-03-01 17:48,,,1,1,1,1,p
2024-03-01 17:54,,,1,1,1,1,p
2024-03-01 18:00,,,1,1,1,1,p
2024-03-01 18:06,,,1,1,1,1,p
2024-03-01 18:12,,,1,1,1,1,p
2024-03-01 18:18,,,1,1,1,1,p
2024-03-01 18:24,,,1,1,1,1,p
2024-03-01 18:30,,,1,1,1,1,p
2024-03-01 18:36,,,1,1,1,1,p
2024-03-01 18:42,,,1,1,1,1,p
2024-03-01 18:48,,,1,1,1,1,p
2024-03-01 18:54,,,1,1,1,1,p
2024-03-01 19:00,,,1,1,1,1,p
2024-03-01 19:06,,,1,1,1,1,p
2024-03-01 19:12,,,1,1,1,1,p
2024-03-01 19:18,,,1,1,1,1,p
2024-03-01 19:24,,,1,1,1,1,p
2024-03-01 19:30,,,1,1,1,1,p
2024-03-01 19:36,,,1,1,1,1,p
2024-03-01 19:42,,,1,1,1,1,p
2024-03-01 19:48,,,1,1,1,1,p
2024-03-01 19:54,,,1,1,1,1,p
2024-03-01 20:00,,,1,1,1,1,p
2024-03-01 20:06,,,1,1,1,1,p
2024-03-01 20:12,,,1,1,1,1,p
2024-03-01 20:18,,,1,1,1,1,p
2024-03-01 20:24,,,1,1,1,1,p
2024-03-01 20:30,1.049,0.043,1,0,0,0,p
2024-03-01 20:36,1.056,0.043,0,0,0,0,p
2024-03-01 20:42,1.081,0.045,1,0,0,0,p
2024-03-01 20:48,1.085,0.043,1,0,0,0,p
2024-03-01 20:54,1.09,0.047,0,0,0,0,p
2024-03-01 21:00,1.107,0.048,0,0,0,0,p
2024-03-01 21:06,1.121,0.052,0,0,0,0,p
2024-03-01 21:12,1.122,0.061,0,0,0,0,p
2024-03-01 21:18,1.14,0.061,0,0,0,0,p
2024-03-01 21:24,1.157,0.067,0,0,0,0,p
2024-03-01 21:30,1.16,0.059,0,0,0,0,p
2024-03-01 21:36,1.181,0.058,0,0,0,0,p
2024-03-01 21:42,1.195,0.059,0,0,0,0,p
2024-03-01 21:48,1.212,0.064,0,0,0,0,p
2024-03-01 21:54,1.23,0.047,0,0,0,0,p
2024-03-01 22:00,1.249,0.049,0,0,0,0,p
2024-03-01 22:06,1.26,0.055,0,0,0,0,p
2024-03-01 22:12,1.265,0.06,0,0,0,0,p
2024-03-01 22:18,1.269,0.056,1,0,0,0,p
2024-03-01 22:24,1.283,0.057,0,0,0,0,p
2024-03-01 22:30,1.296,0.054,1,0,0,0,p
2024-03-01 22:36,1.284,0.066,1,0,0,0,p
2024-03-01 22:42,1.306,0.062,0,0,0,0,p
2024-03-01 22:48,1.297,0.052,0,0,0,0,p
2024-03-01 22:54,1.307,0.062,0,0,0,0,p
2024-03-01 23:00,1.324,0.047,0,0,0,0,p
2024-03-01 23:06,1.35,0.052,0,0,0,0,p
2024-03-01 23:12,1.339,0.053,1,0,0,0,p
2024-03-01 23:18,1.335,0.049,1,0,0,0,p
2024-03-01 23:24,1.338,0.057,1,0,0,0,p
2024-03-01 23:30,1.345,0.046,1,0,0,0,p
2024-03-01 23:36,1.356,0.05,0,0,0,0,p
2024-03-01 23:42,1.362,0.054,0,0,0,0,p
2024-03-01 23:48,1.365,0.057,0,0,0,0,p
2024-03-01 23:54,1.357,0.056,0,0,0,0,p
2024-03-02 00:00,1.362,0.059,0,0,0,0,p
2024-03-02 00:06,1.383,0.048,0,0,0,0,p
2024-03-02 00:12,1.391,0.05,1,0,0,0,p
2024-03-02 00:18,1.385,0.038,0,0,0,0,p
2024-03-02 00:24,1.378,0.054,1,0,0,0,p
2024-03-02 00:30,1.379,0.056,0,0,0,0,p
2024-03-02 00:36,1.37,0.061,0,0,0,0,p
2024-03-02 00:42,1.36,0.056,1,0,0,0,p
2024-03-02 00:48,1.338,0.05,0,0,0,0,p
2024-03-02 00:54,1.331,0.05,0,0,0,0,p
2024-03-02 01:00,1.336,0.057,0,0,0,0,p
2024-03-02 01:06,1.344,0.057,0,0,0,0,p
2024-03-02 01:12,1.329,0.05,0,0,0,0,p
2024-03-02 01:18,1.323,0.058,0,0,0,0,p
2024-03-02 01:24,1.302,0.051,0,0,0,0,p
2024-03-02 01:30,1.301,0.043,0,0,0,0,p
2024-03-02 01:36,1.297,0.058,0,0,0,0,p
2024-03-02 01:42,1.285,0.056,0,0,0,0,p
2024-03-02 01:48,1.287,0.051,1,0,0,0,p
2024-03-02 01:54,1.293,0.051,0,0,0,0,p
2024-03-02 02:00,,,1,1,1,1,p
2024-03-02 02:06,,,1,1,1,1,p
2024-03-02 02:12,,,1,1,1,1,p
2024-03-02 02:18,,,1,1,1,1,p
2024-03-02 02:24,,,1,1,1,1,p
2024-03-02 02:30,,,1,1,1,1,p
2024-03-02 02:36,,,1,1,1,1,p
2024-03-02 02:42,,,1,1,1,1,p
2024-03-02 02:48,,,1,1,1,1,p
2024-03-02 02:54,,,1,1,1,1,p
2024-03-02 03:00,,,1,1,1,1,p
2024-03-02 03:06,,,1,1,1,1,p
2024-03-02 03:12,,,1,1,1,1,p
2024-03-02 03:18,,,1,1,1,1,p
2024-03-02 03:24,,,1,1,1,1,p
2024-03-02 03:30,,,1,1,1,1,p
2024-03-02 03:36,,,1,1,1,1,p
2024-03-02 03:42,,,1,1,1,1,p
2024-03-02 03:48,,,1,1,1,1,p
2024-03-02 03:54,,,1,1,1,1,p
2024-03-02 04:00,,,1,1,1,1,p
2024-03-02 04:06,,,1,1,1,1,p
2024-03-02 04:12,,,1,1,1,1,p
2024-03-02 04:18,,,1,1,1,1,p
2024-03-02 04:24,,,1,1,1,1,p
2024-03-02 04:30,,,1,1,1,1,p
2024-03-02 04:36,,,1,1,1,1,p
2024-03-02 04:42,,,1,1,1,1,p
2024-03-02 04:48,,,1,1,1,1,p
2024-03-02 04:54,,,1,1,1,1,p
2024-03-02 05:00,,,1,1,1,1,p
2024-03-02 05:06,,,1,1,1,1,p
2024-03-02 05:12,,,1,1,1,1,p
2024-03-02 05:18,,,1,1,1,1,p
2024-03-02 05:24,,,1,1,1,1,p
2024-03-02 05:30,,,1,1,1,1,p
2024-03-02 05:36,,,1,1,1,1,p
2024-03-02 05:42,,,1,1,1,1,p
2024-03-02 05:48,,,1,1,1,1,p
2024-03-02 05:54,,,1,1,1,1,p
2024-03-02 06:00,1.295,0.06,0,0,0,0,p
2024-03-02 06:06,1.333,0.078,0,0,0,0,p
2024-03-02 06:12,1.331,0.059,0,0,0,0,p
2024-03-02 06:18,1.332,0.07,0,0,0,0,p
2024-03-02 06:24,1.302,0.069,0,0,0,0,p
2024-03-02 06:30,1.318,0.072,0,0,0,0,p
2024-03-02 06:36,1.346,0.07,0,0,0,0,p
2024-03-02 06:42,1.362,0.066,1,0,0,0,p
2024-03-02 06:48,1.406,0.077,0,0,0,0,p
2024-03-02 06:54,1.419,0.08,0,0,0,0,p
2024-03-02 07:00,1.418,0.079,0,0,0,0,p
2024-03-02 07:06,1.423,0.074,0,0,0,0,p
2024-03-02 07:12,1.441,0.063,1,0,0,0,p
2024-03-02 07:18,1.432,0.073,1,0,0,0,p
2024-03-02 07:24,1.493,0.07,0,0,0,0,p
2024-03-02 07:30,1.503,0.064,0,0,0,0,p
2024-03-02 07:36,1.517,0.075,0,0,0,0,p
2024-03-02 07:42,1.54,0.067,0,0,0,0,p
2024-03-02 07:48,1.555,0.077,0,0,0,0,p
2024-03-02 07:54,1.559,0.087,0,0,0,0,p
2024-03-02 08:00,1.562,0.066,0,0,0,0,p
2024-03-02 08:06,1.561,0.068,0,0,0,0,p
2024-03-02 08:12,1.6,0.066,0,0,0,0,p
2024-03-02 08:18,1.612,0.077,1,0,0,0,p
2024-03-02 08:24,1.66,0.071,0,0,0,0,p
2024-03-02 08:30,1.671,0.062,1,0,0,0,p
2024-03-02 08:36,1.686,0.072,0,0,0,0,p
2024-03-02 08:42,1.686,0.076,0,0,0,0,p
2024-03-02 08:48,1.7,0.076,0,0,0,0,p
2024-03-02 08:54,1.692,0.073,0,0,0,0,p
2024-03-02 09:00,1.719,0.071,1,0,0,0,p
2024-03-02 09:06,1.733,0.058,0,0,0,0,p
2024-03-02 09:12,1.784,0.077,0,0,0,0,p
2024-03-02 09:18,1.839,0.068,0,0,0,0,p
2024-03-02 09:24,1.874,0.061,0,0,0,0,p
2024-03-02 09:30,1.845,0.069,1,0,0,0,p
2024-03-02 09:36,1.82,0.085,0,0,0,0,p
2024-03-02 09:42,1.794,0.07,0,0,0,0,p
2024-03-02 09:48,1.831,0.055,0,0,0,0,p
2024-03-02 09:54,1.846,0.066,0,0,0,0,p
2024-03-02 10:00,1.861,0.079,0,0,0,0,p
2024-03-02 10:06,1.883,0.082,0,0,0,0,p
2024-03-02 10:12,1.906,0.059,1,0,0,0,p
2024-03-02 10:18,1.868,0.074,1,0,0,0,p
2024-03-02 10:24,1.882,0.079,1,0,0,0,p
2024-03-02 10:30,1.875,0.058,0,0,0,0,p
2024-03-02 10:36,1.88,0.076,0,0,0,0,p
2024-03-02 10:42,1.87,0.079,0,0,0,0,p
2024-03-02 10:48,1.9,0.074,0,0,0,0,p
2024-03-02 10:54,1.911,0.068,1,0,0,0,p
2024-03-02 11:00,1.92,0.069,0,0,0,0,p
2024-03-02 11:06,1.913,0.061,0,0,0,0,p
2024-03-02 11:12,1.899,0.08,1,0,0,0,p
2024-03-02 11:18,1.879,0.071,0,0,0,0,p
2024-03-02 11:24,1.868,0.069,0,0,0,0,p
2024-03-02 11:30,1.89,0.075,0,0,0,0,p
2024-03-02 11:36,1.868,0.07,0,0,0,0,p
2024-03-02 11:42,1.864,0.072,0,0,0,0,p
2024-03-02 11:48,1.854,0.08,1,0,0,0,p
2024-03-02 11:54,1.838,0.063,0,0,0,0,p
2024-03-02 12:00,1.807,0.059,1,0,0,0,p
2024-03-02 12:06,1.774,0.085,0,0,0,0,p
2024-03-02 12:12,1.756,0.068,0,0,0,0,p
2024-03-02 12:18,1.764,0.065,0,0,0,0,p
2024-03-02 12:24,1.753,0.068,1,0,0,0,p
2024-03-02 12:30,1.755,0.066,1,0,0,0,p
2024-03-02 12:36,1.71,0.061,0,0,0,0,p
2024-03-02 12:42,1.677,0.058,0,0,0,0,p
2024-03-02 12:48,1.637,0.064,0,0,0,0,p
2024-03-02 12:54,1.614,0.06,0,0,0,0,p
2024-03-02 13:00,1.576,0.067,1,0,0,0,p
2024-03-02 13:06,1.57,0.065,1,0,0,0,p
2024-03-02 13:12,1.586,0.066,0,0,0,0,p
2024-03-02 13:18,1.571,0.061,0,0,0,0,p
2024-03-02 13:24,1.53,0.076,1,0,0,0,p
2024-03-02 13:30,1.517,0.063,0,0,0,0,p
2024-03-02 13:36,1.486,0.063,0,0,0,0,p
2024-03-02 13:42,1.459,0.072,0,0,0,0,p
2024-03-02 13:48,1.437,0.064,0,0,0,0,p
2024-03-02 13:54,1.421,0.058,0,0,0,0,p
2024-03-02 14:00,1.374,0.072,0,0,0,0,p
2024-03-02 14:06,1.32,0.055,1,0,0,0,p
2024-03-02 14:12,,,1,1,1,1,p
2024-03-02 14:18,,,1,1,1,1,p
2024-03-02 14:24,,,1,1,1,1,p
2024-03-02 14:30,,,1,1,1,1,p
2024-03-02 14:36,,,1,1,1,1,p
2024-03-02 14:42,,,1,1,1,1,p
2024-03-02 14:48,,,1,1,1,1,p
2024-03-02 14:54,,,1,1,1,1,p
2024-03-02 15:00,,,1,1,1,1,p
2024-03-02 15:06,,,1,1,1,1,p
2024-03-02 15:12,,,1,1,1,1,p
2024-03-02 15:18,,,1,1,1,1,p
2024-03-02 15:24,,,1,1,1,1,p
2024-03-02 15:30,,,1,1,1,1,p
2024-03-02 15:36,,,1,1,1,1,p
2024-03-02 15:42,,,1,1,1,1,p
2024-03-02 15:48,,,1,1,1,1,p
2024-03-02 15:54,,,1,1,1,1,p
2024-03-02 16:00,,,1,1,1,1,p
2024-03-02 16:06,,,1,1,1,1,p
2024-03-02 16:12,,,1,1,1,1,p
2024-03-02 16:18,,,1,1,1,1,p
2024-03-02 16:24,,,1,1,1,1,p
2024-03-02 16:30,,,1,1,1,1,p
2024-03-02 16:36,,,1,1,1,1,p
2024-03-02 16:42,,,1,1,1,1,p
2024-03-02 16:48,,,1,1,1,1,p
2024-03-02 16:54,,,1,1,1,1,p
2024-03-02 17:00,,,1,1,1,1,p
2024-03-02 17:06,,,1,1,1,1,p
2024-03-02 17:12,,,1,1,1,1,p
2024-03-02 17:18,,,1,1,1,1,p
2024-03-02 17:24,,,1,1,1,1,p
2024-03-02 17:30,,,1,1,1,1,p
2024-03-02 17:36,,,1,1,1,1,p
2024-03-02 17:42,,,1,1,1,1,p
2024-03-02 17:48,,,1,1,1,1,p
2024-03-02 17:54,,,1,1,1,1,p
2024-03-02 18:00,,,1,1,1,1,p
2024-03-02 18:06,,,1,1,1,1,p
2024-03-02 18:12,,,1,1,1,1,p
2024-03-02 18:18,,,1,1,1,1,p
2024-03-02 18:24,,,1,1,1,1,p
2024-03-02 18:30,,,1,1,1,1,p
2024-03-02 18:36,,,1,1,1,1,p
2024-03-02 18:42,,,1,1,1,1,p
2024-03-02 18:48,,,1,1,1,1,p
2024-03-02 18:54,,,1,1,1,1,p
2024-03-02 19:00,,,1,1,1,1,p
2024-03-02 19:06,,,1,1,1,1,p
2024-03-02 19:12,,,1,1,1,1,p
2024-03-02 19:18,,,1,1,1,1,p
2024-03-02 19:24,,,1,1,1,1,p
2024-03-02 19:30,,,1,1,1,1,p
2024-03-02 19:36,,,1,1,1,1,p
2024-03-02 19:42,,,1,1,1,1,p
2024-03-02 19:48,,,1,1,1,1,p
2024-03-02 19:54,,,1,1,1,1,p
2024-03-02 20:00,,,1,1,1,1,p
2024-03-02 20:06,,,1,1,1,1,p
2024-03-02 20:12,,,1,1,1,1,p
2024-03-02 20:18,,,1,1,1,1,p
2024-03-02 20:24,,,1,1,1,1,p
2024-03-02 20:30,,,1,1,1,1,p
2024-03-02 20:36,,,1,1,1,1,p
2024-03-02 20:42,,,1,1,1,1,p
2024-03-02 20:48,,,1,1,1,1,p
2024-03-02 20:54,,,1,1,1,1,p
2024-03-02 21:00,,,1,1,1,1,p
2024-03-02 21:06,,,1,1,1,1,p
2024-03-02 21:12,,,1,1,1,1,p
2024-03-02 21:18,,,1,1,1,1,p
2024-03-02 21:24,,,1,1,1,1,p
2024-03-02 21:30,,,1,1,1,1,p
2024-03-02 21:36,,,1,1,1,1,p
2024-03-02 21:42,,,1,1,1,1,p
2024-03-02 21:48,,,1,1,1,1,p
2024-03-02 21:54,,,1,1,1,1,p
2024-03-02 22:00,,,1,1,1,1,p
2024-03-02 22:06,,,1,1,1,1,p
2024-03-02 22:12,,,1,1,1,1,p
2024-03-02 22:18,,,1,1,1,1,p
2024-03-02 22:24,,,1,1,1,1,p
2024-03-02 22:30,,,1,1,1,1,p
2024-03-02 22:36,,,1,1,1,1,p
2024-03-02 22:42,,,1,1,1,1,p
2024-03-02 22:48,,,1,1,1,1,p
2024-03-02 22:54,,,1,1,1,1,p
2024-03-02 23:00,,,1,1,1,1,p
2024-03-02 23:06,,,1,1,1,1,p
2024-03-02 23:12,,,1,1,1,1,p
2024-03-02 23:18,,,1,1,1,1,p
2024-03-02 23:24,,,1,1,1,1,p
2024-03-02 23:30,1.209,0.057,0,0,0,0,p
2024-03-02 23:36,1.235,0.063,0,0,0,0,p
2024-03-02 23:42,1.245,0.065,0,0,0,0,p
2024-03-02 23:48,1.257,0.068,0,0,0,0,p
2024-03-02 23:54,1.277,0.067,0,0,0,0,p
2024-03-03 00:00,1.263,0.057,1,0,0,0,p
2024-03-03 00:06,1.27,0.057,1,0,0,0,p
2024-03-03 00:12,1.273,0.058,1,0,0,0,p
2024-03-03 00:18,1.277,0.064,1,0,0,0,p
2024-03-03 00:24,1.293,0.062,0,0,0,0,p
2024-03-03 00:30,1.312,0.07,0,0,0,0,p
2024-03-03 00:36,1.298,0.066,0,0,0,0,p
2024-03-03 00:42,1.318,0.059,0,0,0,0,p
2024-03-03 00:48,1.32,0.063,0,0,0,0,p
2024-03-03 00:54,1.325,0.066,0,0,0,0,p
2024-03-03 01:00,1.334,0.059,0,0,0,0,p
2024-03-03 01:06,1.338,0.07,0,0,0,0,p
2024-03-03 01:12,1.339,0.062,0,0,0,0,p
2024-03-03 01:18,1.346,0.053,0,0,0,0,p
2024-03-03 01:24,1.347,0.06,0,0,0,0,p
2024-03-03 01:30,1.347,0.064,0,0,0,0,p
2024-03-03 01:36,1.35,0.059,0,0,0,0,p
2024-03-03 01:42,1.343,0.053,0,0,0,0,p
2024-03-03 01:48,1.35,0.054,0,0,0,0,p
2024-03-03 01:54,1.354,0.068,0,0,0,0,p
2024-03-03 02:00,1.358,0.065,0,0,0,0,p
2024-03-03 02:06,1.341,0.06,0,0,0,0,p
2024-03-03 02:12,1.341,0.074,0,0,0,0,p
2024-03-03 02:18,1.318,0.063,0,0,0,0,p
2024-03-03 02:24,1.332,0.059,0,0,0,0,p
2024-03-03 02:30,1.333,0.062,0,0,0,0,p
2024-03-03 02:36,1.345,0.065,0,0,0,0,p
2024-03-03 02:42,1.337,0.052,1,0,0,0,p
2024-03-03 02:48,1.34,0.062,0,0,0,0,p
2024-03-03 02:54,1.334,0.054,1,0,0,0,p
2024-03-03 03:00,,,1,1,1,1,p
2024-03-03 03:06,,,1,1,1,1,p
2024-03-03 03:12,,,1,1,1,1,p
2024-03-03 03:18,,,1,1,1,1,p
2024-03-03 03:24,,,1,1,1,1,p
2024-03-03 03:30,,,1,1,1,1,p
2024-03-03 03:36,,,1,1,1,1,p
2024-03-03 03:42,,,1,1,1,1,p
2024-03-03 03:48,,,1,1,1,1,p
2024-03-03 03:54,,,1,1,1,1,p
2024-03-03 04:00,,,1,1,1,1,p
2024-03-03 04:06,,,1,1,1,1,p
2024-03-03 04:12,,,1,1,1,1,p
2024-03-03 04:18,,,1,1,1,1,p
2024-03-03 04:24,,,1,1,1,1,p
2024-03-03 04:30,,,1,1,1,1,p
2024-03-03 04:36,,,1,1,1,1,p
2024-03-03 04:42,,,1,1,1,1,p
2024-03-03 04:48,,,1,1,1,1,p
2024-03-03 04:54,,,1,1,1,1,p
2024-03-03 05:00,,,1,1,1,1,p
2024-03-03 05:06,,,1,1,1,1,p
2024-03-03 05:12,,,1,1,1,1,p
